Indv_ID,Median Number of Roots,Maximum Number of Roots,Number of Root Tips,Total Root Length,Depth,Maximum Width,Width-to-Depth Ratio,Network Area,Convex Area,Solidity,Lower Root Area,Average Diameter,Median Diameter,Maximum Diameter,Perimeter,Volume,Surface Area,Holes,Average Hole Size,Computation Time,Average Root Orientation,Shallow Angle Frequency,Medium Angle Frequency,Steep Angle Frequency,Fine Diameter Frequency,Medium Diameter Frequency,Coarse Diameter Frequency
160_271_379,3.833333333,23.66666667,397,32193.26667,2469,1004.666667,0.407800667,261248,1506666.667,0.172687,237969,13.05606667,8.830806667,123.1976667,44550.56667,10610000,1369495.333,328,805.092,0.299666667,52.03253333,0.248857667,0.288038,0.463103667,0.242242667,0.343721667,0.414035667
160_271_198,5,16.33333333,334,23610.26667,2328,678,0.299156667,208789.3333,985768.6667,0.214042667,201907.6667,14.33483333,9.063493333,153.501,32568.1,10110000,1103333.333,213,758.909,0.249,55.45956667,0.211631,0.256189333,0.532179333,0.220360667,0.360936667,0.418702667
160_271_14,5,17.33333333,251.3333333,21115.73333,1825.666667,894.3333333,0.504062,181376.3333,1102102.333,0.169862667,156618,14.37463333,9.087573333,118.811,30262.2,7580000,920431.6667,194.3333333,653.5126667,0.216333333,52.82006667,0.231506667,0.29846,0.470033333,0.217336667,0.352096667,0.430567333
160_271_153,2.666666667,16.66666667,326,22691.53333,2544,962.3333333,0.380534667,203492.6667,1660000,0.122927,193118.6667,13.7062,9.64809,116.2873333,32878.66667,7990000,1003957,170.6666667,980.0656667,0.283,56.32836667,0.199168667,0.263023667,0.537807667,0.215645,0.343051667,0.441303333
160_271_12,3.666666667,19.33333333,266.3333333,22097.16667,2237.666667,1195,0.542334333,224600,1573333.333,0.145804333,175374,17.16113333,9.64809,134.3946667,31959.73333,12633333.33,1138533.333,162.6666667,1175.857,0.263333333,53.9314,0.220932333,0.292720667,0.486346667,0.213088333,0.336739333,0.450171333
160_271_320,2.333333333,9.666666667,146,10128.41333,2007,490.6666667,0.243792333,95819.66667,648801.6667,0.149557667,76859,18.44883333,9.857256667,108.7196333,15365.56333,4836666.667,468389.3333,65.66666667,2297.435667,0.173666667,57.49846667,0.190902333,0.250477667,0.55862,0.202111333,0.329837,0.468051333
160_271_131,4.333333333,18.66666667,389.3333333,27363.63333,2448.666667,732.3333333,0.298705,267259.3333,1026831.667,0.262322667,213760,15.21463333,9.904856667,128.32,37220.96667,13093333.33,1356666.667,242,976.144,0.281,56.59426667,0.213764333,0.220925333,0.56531,0.194552333,0.327962333,0.477485667
160_271_58,1.666666667,9.333333333,57.33333333,6062.476667,1284.666667,812.3333333,0.642749,85621.66667,569277,0.152400667,53050,21.92673333,9.946526667,114.4853333,10027.30333,5450000,397262,10,4268.213333,0.145,55.2931,0.218556,0.253563,0.527880667,0.1399661,0.383006333,0.477028
160_271_392,3,16.66666667,264.6666667,18732.33333,2300.666667,916,0.392305,192038.3333,1272280.667,0.15701,148719.6667,15.4364,9.96937,129.8206667,28399.53333,9560000,917277.6667,115.6666667,1297.56,0.268333333,55.71783333,0.196510667,0.277939333,0.52555,0.203709,0.314844667,0.481446333
160_271_174,3,12,200.6666667,14923.89333,2372,574.3333333,0.242168333,141571.3333,796690.6667,0.179645667,114857,14.18083333,10,106.3409667,22539.26667,5383333.333,680994,85.33333333,1313.519,0.203666667,57.6069,0.188964667,0.244755667,0.566279667,0.187825333,0.356508667,0.455666
160_271_27,2.666666667,13.33333333,204,15755.43333,2160,1040.666667,0.47951,201004.3333,1375745,0.150366333,138123.6667,18.90036667,10.00862667,141.7806667,24043.03333,12890000,941358.6667,74,1918.08,0.225666667,56.22826667,0.195406667,0.268920333,0.535673,0.170569333,0.350864333,0.478566667
160_271_193,4.333333333,18.33333333,351.3333333,23349.7,2225.333333,846,0.386191,229116.6667,1153691.667,0.201710667,185468.3333,16.44613333,10.04906,133.5603333,32068.1,12676666.67,1205400,193.3333333,782.978,0.256333333,58.00263333,0.195345667,0.223283667,0.581370333,0.194463,0.330138333,0.475398667
160_271_17,1.333333333,10.33333333,59.66666667,6767.95,1572.666667,811.6666667,0.502032667,120570.3333,684734.6667,0.219069,84025.33333,28.24273333,10.066,137.0453333,10762.30667,9926666.667,556042.3333,18.33333333,1268.332333,0.150666667,56.53683333,0.215266667,0.241979667,0.542753,0.146549333,0.368026333,0.485424667
160_271_11,3,16.33333333,213.6666667,14978.97667,1663.333333,1198.666667,0.755671333,146661.3333,1191514.333,0.124413667,135347.6667,15.22673333,10.14807,118.3126667,22509.13333,5880000,692567,90,1417.320667,0.217,51.00483333,0.245865333,0.326259,0.427875667,0.206259667,0.301019667,0.492720667
160_271_374,1.666666667,9.666666667,115.3333333,7905.51,1540.333333,686.6666667,0.457792667,116471.6667,627241.6667,0.185215667,74156.33333,23.35166667,10.14807,124.8646667,11850.62,7990000,564062,26.33333333,1263.13,0.171333333,55.08206667,0.213166,0.280020667,0.506813333,0.178499667,0.328987667,0.492513
160_271_180,3.333333333,12.33333333,213.6666667,15183.7,2219.333333,1023.333333,0.601665333,162760.6667,1180000,0.1393502,144784.3333,17.77376667,10.16176,152.325,23138,9573333.333,796461.6667,76.33333333,1296.917333,0.250333333,55.78463333,0.213439,0.248347,0.538213667,0.194324333,0.329734667,0.475941
160_271_62,3.666666667,14.66666667,199.3333333,15943.87667,2102.666667,948.6666667,0.445461667,191162,1358032.333,0.148316633,136659,21.01203333,10.198,152.111,23690.2,14000000,987970.6667,73.33333333,2559.553333,0.238333333,55.70396667,0.215710333,0.243702333,0.540587333,0.152757,0.341805667,0.505437333
160_271_371,3.333333333,16.66666667,193.6666667,16798.23333,1917,1127.333333,0.616247333,181305.6667,1283333.333,0.139739667,133731,17.0648,10.20205667,124.0846667,24638.33333,9713333.333,914381,98.66666667,1686.013333,0.245666667,53.6748,0.233221333,0.283124333,0.483654333,0.193791,0.321979667,0.484229
160_271_15,3,11.66666667,114,9713.24,1676.666667,1170.333333,0.710595,129040,1068272,0.1230387,85616.33333,18.9087,10.25676667,125.1686667,15752.73333,7876666.667,578433.3333,28.33333333,1118.2,0.194,57.4992,0.172537367,0.286814,0.540649,0.139655333,0.377432667,0.482911667
160_271_20,4,20.33333333,246,20427.36667,1864.666667,1129.666667,0.624476333,219975.6667,1317207,0.167976,176519,17.38393333,10.25676667,141.801,29252.06667,13626666.67,1133848,141.6666667,711.7266667,0.233,54.26603333,0.215354,0.284098667,0.500547333,0.185613,0.332740333,0.481646667
160_271_33,2,10.66666667,158.3333333,10481.98333,2015.333333,692.3333333,0.353844333,131040.6667,711831.6667,0.203011,86543,23.16806667,10.29843667,142.3983333,15353.95333,10820000,693135,48.66666667,1636.769333,0.168,55.35346667,0.202961333,0.268647,0.528391667,0.181079667,0.319838667,0.499081667
160_271_151,4.666666667,14.66666667,222,19073.93333,2373.333333,983.3333333,0.425345,191681.3333,1383333.333,0.139332367,170892.6667,15.09086667,10.32276667,137.313,29561.73333,8533333.333,912936,99.33333333,3145.323333,0.282666667,57.7208,0.176932,0.258668333,0.5644,0.198757333,0.301585333,0.499657333
160_271_172,2.666666667,8,112.6666667,9425.096667,1888.333333,770.3333333,0.389924,133538.6667,1004931.333,0.165282233,100099,20.87413333,10.53112333,127.7643333,14565.63333,9503333.333,655755.6667,28.66666667,630.5016667,0.220333333,60.36566667,0.166873667,0.196251,0.636875667,0.159298333,0.346499667,0.494202
160_271_173,1.666666667,13,168.3333333,13546.93333,2226.333333,1057.666667,0.483084333,161254,1243488,0.149151333,127394.6667,19.00956667,10.55396667,146.03,19792.3,11430000,823939.3333,74.66666667,2266.346333,0.263,53.44783333,0.227129333,0.283734,0.489136667,0.170641667,0.329688,0.499670333
160_271_326,3.333333333,15.33333333,248,18819.90667,2317.666667,986,0.411715667,197296,1518365.333,0.147074033,197296,16.80526667,10.59712333,163.3933333,27927.36667,11203333.33,985527,110.3333333,1154.936333,0.273666667,57.48903333,0.186343333,0.235707,0.577949333,0.174306333,0.306266333,0.519427
160_271_375,2,9,126.6666667,8844.46,1887.333333,712.6666667,0.433189333,126794.6667,728014,0.180435667,87220.66667,21.8657,10.66666667,135.069,13374.56667,9830000,622393.3333,31.33333333,2320.364,0.183666667,56.72903333,0.198248,0.259233667,0.542518,0.193407,0.304305333,0.502288
160_271_372,3,13.33333333,163.3333333,12862.32667,1879.333333,733.3333333,0.389587,166524.6667,808473.6667,0.207650333,116478.6667,22.3736,10.66666667,144.914,18418.46667,12800000,860494.6667,72.33333333,3354.218,0.211,56.44626667,0.196598,0.257849333,0.545552667,0.150182333,0.334312667,0.515504667
160_271_127,2.666666667,20.66666667,276.3333333,22913.8,1807.333333,924.3333333,0.531978333,256270.6667,1009413.667,0.254949667,186734.6667,21.07,10.66666667,171.962,29766.23333,21866666.67,1510000,189.3333333,502.5113333,0.258666667,49.0343,0.279037333,0.316406333,0.404557,0.172649,0.309113,0.518237667
160_271_183,2,14,162.6666667,11440.03333,1520.666667,939.3333333,0.651617,139895.6667,755288,0.183405667,101246.6667,20.50783333,10.72183333,153.0473333,16403.23333,11270000,756345,63,1033.738333,0.200666667,47.81643333,0.275052333,0.339228,0.38572,0.176621667,0.324387333,0.498991333
160_271_148,2.666666667,10.66666667,160,13330.18,2279.333333,769.3333333,0.352096,155233.3333,1059951,0.149193,131466.6667,21.07703333,10.84025667,142.4093333,19690.3,10043333.33,790990.6667,73.33333333,1630.116667,0.233333333,54.14393333,0.227447667,0.269249667,0.503302667,0.166257667,0.312657333,0.521085
160_271_73,2.666666667,15.33333333,258,17939.48,1864,727,0.399113,204037.6667,908792.3333,0.234363,159816.3333,25.1175,10.98142333,173.802,23940.65667,19000000,1185739,134.3333333,639.051,0.203,52.6681,0.246081667,0.274707,0.479210667,0.196597333,0.286307333,0.517095333
160_271_125,4,20,307.3333333,26852.9,2185,1012.333333,0.471758,287336,1476666.667,0.201776667,234395.3333,18.6424,10.99186667,157.899,35583.43333,20233333.33,1593333.333,237.3333333,772.7253333,0.296666667,52.7113,0.245212667,0.264811,0.489976333,0.167969667,0.309896667,0.522133667
160_271_44,4.666666667,18,268.6666667,28143.00667,2368.666667,855,0.369365333,311383.6667,1268550.333,0.237439,263329.6667,21.34853333,10.99186667,170.5263333,37231.93333,25233333.33,1783982.667,238,1066.756333,0.237,54.81753333,0.221486,0.263637667,0.514876,0.166381,0.310456,0.523163333
160_271_136,1.666666667,6.333333333,46.33333333,5319.51,1556.333333,664.6666667,0.428542333,91398.66667,649135.3333,0.183410233,60662,26.14236667,11.04742333,124.146,8711.41,6316666.667,406762.3333,10.66666667,1128.525333,0.167333333,59.74266667,0.157466333,0.240621333,0.601912667,0.130728567,0.351627333,0.517644
160_271_19,2.333333333,12,94.33333333,11583.27667,2194,1100.333333,0.514843,172687.6667,1373333.333,0.126557667,113688.6667,21.54743333,11.1398,139.6613333,18814.8,11620000,776937.6667,35.66666667,3383.854667,0.224,56.66183333,0.183249,0.278310667,0.53844,0.1421,0.326411,0.531488667
160_271_50,3.333333333,17.66666667,292.3333333,23195.43333,2182,1126.333333,0.53375,280665,1337226,0.218409,226106,21.4352,11.1398,180.2766667,31648.9,26033333.33,1613333.333,140,2066.263333,0.270333333,52.40923333,0.244875333,0.275012,0.480112333,0.164520333,0.298639333,0.536840333
160_271_194,1.666666667,9,75,7437.41,1550.666667,773.3333333,0.490963,114606.6667,726277,0.167821,81234,26.4024,11.2058,135.2753333,11425.61,9026666.667,572868.3333,21.33333333,754.421,0.170666667,53.34803333,0.221280333,0.308932,0.469787667,0.1358674,0.322040667,0.542092
160_271_67,6.333333333,23.33333333,436.6666667,39753.7,2438.666667,1057,0.4432,422905.6667,1636666.667,0.255596333,375615,18.44826667,11.2758,189.605,52271.56667,32400000,2426666.667,342.6666667,1163.486,0.321333333,51.6156,0.249321333,0.294708,0.455970667,0.16197,0.306009667,0.53202
160_271_75,6.666666667,26.66666667,349,41320.86667,2408.333333,1419.666667,0.594459,435357.3333,2120000,0.204784,348245.3333,19.5883,11.32093333,188.281,52120.23333,36766666.67,2613333.333,405.6666667,1099.549333,0.407666667,51.7905,0.24406,0.307767,0.448173,0.151039,0.312160333,0.536800667
160_271_394,2.666666667,14,161.3333333,13498.68,1558.333333,986.6666667,0.633377333,173638,922411.6667,0.195681333,130314.6667,21.14156667,11.3647,136.5343333,19248.4,11530000,888398.6667,74,780.7553333,0.194333333,50.0495,0.279206,0.294608,0.426186,0.132933733,0.319318,0.547748333
160_271_385,2.333333333,13,178,12521.52333,2125.333333,891,0.412012667,175737,1195818.667,0.180657133,112501.6667,22.72306667,11.39556667,135.8906667,18244.66667,12133333.33,859966.6667,61.66666667,888.4686667,0.237333333,56.18173333,0.221232333,0.236684,0.542084333,0.1511951,0.319088333,0.529716333
160_271_177,1.333333333,8.666666667,116.6666667,8561.22,1787.333333,952.6666667,0.589397333,124398.3333,994383.6667,0.133068333,102711,24.67193333,11.5497,152.2293333,13378.16667,10183333.33,613230.3333,21.66666667,492.6213333,0.205,55.9775,0.179476333,0.311386667,0.509137,0.123502733,0.292399667,0.584098
160_271_169,5.333333333,16.33333333,234.6666667,19953.4,2105,1208.666667,0.597485333,231223.3333,1400000,0.172946,188498.6667,18.01503333,11.5497,138.6316667,30040.26667,11700000,1115872.333,101.6666667,1927.333333,0.319,54.89696667,0.189999667,0.325952667,0.484047667,0.1384403,0.311862333,0.549697333
160_271_357,3.333333333,14.66666667,127.6666667,15969.18333,1845.666667,1069.333333,0.594678,205402,1255992,0.159876,166145,24.07053333,11.5901,141.991,23541.32333,14666666.67,1084113.667,78,1664.29,0.249333333,52.4654,0.222706667,0.316873667,0.46042,0.133629933,0.321191333,0.545178667
160_271_7,3,11.66666667,197.6666667,15029.36333,2025,1035.666667,0.544554333,168416.3333,1075984.667,0.148296667,138476.6667,17.2884,11.65853333,121.4780333,21667.4,8156666.667,817762,93.66666667,765.5523333,0.212666667,55.71876667,0.201371333,0.264966333,0.533662333,0.188319,0.259664333,0.552016667
160_271_166,4.333333333,19.33333333,320.6666667,25289.21333,1917.333333,734.3333333,0.374819,264440.6667,1025753.667,0.266644333,227607.6667,19.92863333,11.7746,144.278,31742.68,15210000,1453202.667,238,871.759,0.232333333,52.3724,0.257794667,0.268333333,0.473871667,0.164575333,0.280580667,0.554844333
160_271_181,3.666666667,18.33333333,204.6666667,18766.76667,2030.666667,1132,0.602747333,229102,1316666.667,0.173333667,195317.3333,19.3907,11.83346667,151.4296667,27233.6,15813333.33,1191759.667,92.66666667,4118.734667,0.268333333,54.6135,0.209299,0.280978,0.509723,0.159690333,0.279759,0.560550667
160_271_209,3.333333333,13.66666667,191.3333333,11095.97667,1531.666667,740.3333333,0.484001,154595,693168.6667,0.240034333,107944.6667,22.54283333,12.02183333,148.7676667,15489.13333,11433333.33,781744,50.33333333,1817.403333,0.180666667,56.09976667,0.211159667,0.240846,0.547994,0.121975,0.303956,0.574069333
160_271_134,1.333333333,12.66666667,109.6666667,9384.41,1625.333333,698,0.432181667,146996,598060.6667,0.256787667,97648,30.25866667,12.0415,153.308,12836.25333,16166666.67,842622,46,923.0306667,0.196666667,50.99973333,0.263383333,0.307629,0.428987333,0.1732242,0.263905,0.562871333
